run_id,timestamp_utc,status,language,srs,model,stack,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,missing_reason,json_path
20260627-101630-0000-cctns,2026-06-27T10:16:30.109099+00:00,complete,java,0000 - cctns,anthropic_claude-sonnet-4-6,spring,1,0.0,0.0,1,6,,outputs/matrix/java/0000 - cctns/anthropic_claude-sonnet-4-6/runs/20260627-101630-0000-cctns.json
20260627-101419-0000-cctns,2026-06-27T10:14:19.176875+00:00,failed,java,0000 - cctns,deepseek_deepseek-v3_2,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/0000 - cctns/deepseek_deepseek-v3_2/runs/20260627-101419-0000-cctns.json
20260627-173841-0000-cctns,2026-06-27T17:38:41.561521+00:00,complete,java,0000 - cctns,deepseek_deepseek-v3_2,spring,1,0.0,0.0,4,3,,outputs/matrix/java/0000 - cctns/deepseek_deepseek-v3_2/runs/20260627-173841-0000-cctns.json
20260627-101611-0000-cctns,2026-06-27T10:16:11.685636+00:00,complete,java,0000 - cctns,google_gemini-3_1-pro-preview,spring,1,0.0,0.0,0,7,,outputs/matrix/java/0000 - cctns/google_gemini-3_1-pro-preview/runs/20260627-101611-0000-cctns.json
20260627-171801-0000-cctns,2026-06-27T17:18:01.020634+00:00,complete,java,0000 - cctns,openai_gpt-5_1,spring,1,0.0,0.0,3,4,,outputs/matrix/java/0000 - cctns/openai_gpt-5_1/runs/20260627-171801-0000-cctns.json
20260627-103737-0000-gamma-j,2026-06-27T10:37:37.427391+00:00,complete,java,0000 - gamma j,anthropic_claude-sonnet-4-6,spring,1,0.0,0.0,2,4,,outputs/matrix/java/0000 - gamma j/anthropic_claude-sonnet-4-6/runs/20260627-103737-0000-gamma-j.json
20260627-103607-0000-gamma-j,2026-06-27T10:36:07.043858+00:00,complete,java,0000 - gamma j,deepseek_deepseek-v3_2,spring,1,0.0,0.0,5,1,,outputs/matrix/java/0000 - gamma j/deepseek_deepseek-v3_2/runs/20260627-103607-0000-gamma-j.json
20260627-102856-0000-gamma-j,2026-06-27T10:28:56.800339+00:00,failed,java,0000 - gamma j,google_gemini-3_1-pro-preview,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/0000 - gamma j/google_gemini-3_1-pro-preview/runs/20260627-102856-0000-gamma-j.json
20260627-175315-0000-gamma-j,2026-06-27T17:53:15.962645+00:00,complete,java,0000 - gamma j,google_gemini-3_1-pro-preview,spring,1,0.0,0.0,0,6,,outputs/matrix/java/0000 - gamma j/google_gemini-3_1-pro-preview/runs/20260627-175315-0000-gamma-j.json
20260627-172441-0000-gamma-j,2026-06-27T17:24:41.263334+00:00,complete,java,0000 - gamma j,openai_gpt-5_1,spring,1,0.0,0.0,4,2,,outputs/matrix/java/0000 - gamma j/openai_gpt-5_1/runs/20260627-172441-0000-gamma-j.json
20260627-104000-2009-video-search,2026-06-27T10:40:00.965384+00:00,failed,java,2009 - video search,anthropic_claude-sonnet-4-6,spring,,,,,,certification_missing_or_not_reached,outputs/matrix/java/2009 - video search/anthropic_claude-sonnet-4-6/runs/20260627-104000-2009-video-search.json
